t[s],x[m],v[m/s],DE,Em,v0
0.1,3.3970000000000002,3.97,0.000879343195266401,8.45743045,4
0.2,3.7906030000000004,3.93603,0.0017277675302309892,8.464599635630451,4
0.30000000000000004,4.180415397000001,3.8981239700000003,0.002541880155978285,8.471478887318016,4
0.4,4.566047378603001,3.8563198160300005,0.0033184254361179107,8.478040694935196,4
0.5,4.947113312827398,3.8106593422439703,0.004054297966074275,8.484258817813327,4
0.6,5.323232133738967,3.7611882091156965,0.004746554991600812,8.490108389679026,4
0.7,5.694027722516799,3.707955887778307,0.005392428176851832,8.495566018094397,4
0.7999999999999999,6.059129283572112,3.651015610553139,0.005989334674959776,8.50060987800341,4
0.8999999999999999,6.418171715343854,3.5904243177174178,0.00653488745683864,8.505219799010286,4
0.9999999999999999,6.770795975400252,3.5262426005639793,0.007026904856913812,8.509377346040921,4
1.0999999999999999,7.116649439481249,3.458534640809977,0.0074634192976021935,8.513065893064738,4
1.2,7.455386254122766,3.3873681464151644,0.007842685157655394,8.516270689582187,4
1.3,7.78666768251016,3.3128142838739367,0.008163185752899446,8.518978919612,4
1.4000000000000001,8.110162443215044,3.234947607048835,0.00842363940145367,8.521179752942283,4
1.5000000000000002,8.425547041476712,3.153845982616685,0.008623004549177724,8.522864388440551,4
1.6000000000000003,8.732506092696903,3.0695905122019176,0.008760483934845364,8.524026089249443,4
1.7000000000000004,9.030732637824398,2.9822654512749485,0.008835527778393852,8.524660209727427,4
1.8000000000000005,9.319928450314068,2.8919581248967043,0.008847835979492435,8.52476421402671,4
1.9000000000000006,9.599804334353424,2.7987588403935635,0.008797359317645245,8.524337686234102,4
2.0000000000000004,9.870080414058426,2.702760797050029,0.008684299649022767,8.523382332034242,4
2.1000000000000005,10.13048641334937,2.604059992909445,0.008509109099240112,8.521901971888578,4
2.2000000000000006,10.380761926226965,2.5027551287759513,0.00827248825530575,8.519902525757333,4
2.3000000000000007,10.620656677178333,2.3989475095136816,0.007975383363974424,8.517391989425583,4
2.400000000000001,10.849930771452524,2.292740942741898,0.007618982547706831,8.514380402528122,4
2.500000000000001,11.068354934955261,2.184241635027373,0.007204711053367032,8.51087980840095,4
2.600000000000001,11.275710743523042,2.07355808567782,0.006734225552660463,8.50690420591998,4
2.700000000000001,11.471790841347302,1.9608009782425897,0.006209407517105353,8.50246949351954,4
2.800000000000001,11.656399148330213,1.8460830698291166,0.00563235569402527,8.497593405614513,4
2.9000000000000012,11.829351056164795,1.7295190783458145,0.00500537771366101,8.492295441680435,4
3.0000000000000013,11.99047361294321,1.6112255677841665,0.0043309808609558135,8.486596788275076,4
3.1000000000000014,12.139605696108685,1.4913208316547344,0.0036118620489239057,8.480520234313406,4
3.2000000000000015,12.27659817357805,1.3699247746936476,0.0028508970336944,8.474090079934717,4
3.3000000000000016,12.401314052873836,1.2471587929578671,0.002051128914363032,8.467332039326367,4
3.4000000000000017,12.51362861811675,1.1231456524291288,0.0012157559636394048,8.460273137892752,4
3.5000000000000018,12.613429554741545,0.9980093662479612,0.0003481188379532931,8.452941604180705,4
3.600000000000002,12.7006170618116,0.8718750707005457,-0.0005483127818297379,8.445366756993538,4
3.700000000000002,12.775103951819844,0.7448689000824297,-0.0014699540656623617,8.437578888145152,4
3.800000000000002,12.836815737876266,0.6171178605642312,-0.002413119370049984,8.429609141323077,4
3.900000000000002,12.885690708194813,0.4887497031854685,-0.003374036976940877,8.421489387544849,4
4.000000000000002,12.921679987805165,0.3598927961035203,-0.004348864176824657,8.413252097705831,4
4.100000000000001,12.944747587427711,0.23067599622546867,-0.005333702635729589,8.404930212728084,4
4.200000000000001,12.95487043946283,0.10122852035119154,-0.006324613984658012,8.396557011829639,4
4.300000000000001,12.952038421058486,-0.02832018404343678,-0.0073176355691255655,8.388165979440888,4
4.4,12.936254364233085,-0.15784056825402165,-0.008308796295816032,8.379790671300354,4
4.5,12.907534053043449,-0.2872031118963525,-0.009294132512983605,8.371464580265288,4
4.6,12.86590620780077,-0.416278452426787,-0.010269703861095814,8.36322100237374,4
4.699999999999999,12.81141245635029,-0.5449375145047948,-0.011231609030331035,8.355092903693702,4
4.799999999999999,12.74410729244346,-0.6730516390682977,-0.01217600136191824,8.34711278849179,4
4.899999999999999,12.664058021244186,-0.8004927119927323,-0.013099104230922861,8.339312569248701,4
4.999999999999998,12.571344692023668,-0.9271332922051742,-0.013997226148972006,8.331723439041186,4
5.099999999999998,12.466060018111127,-1.0528467391254108,-0.014866775526515151,8.324375746800946,4
5.1999999999999975,12.348309284180475,-1.177507339306522,-0.015704275035591832,8.317298875949248,4
5.299999999999997,12.218210240965643,-1.3009904321483268,-0.016506375515664876,8.310521126892631,4
5.399999999999997,12.075892987509844,-1.4231725345579833,-0.017269869366914756,8.30406960384957,4
5.4999999999999964,11.921499841066536,-1.5439314644330817,-0.017991703377430283,8.297970106460713,4
5.599999999999996,11.755185194782161,-1.6631464628437471,-0.018668990933003612,8.292247026616119,4
5.699999999999996,11.577115363303005,-1.7806983147915687,-0.019299023560699426,8.28692325091209,4
5.799999999999995,11.387468416460544,-1.8964694684245988,-0.019879281760040026,8.282020069127661,4
5.899999999999995,11.186434001201624,-2.0103441525892043,-0.020407445078486176,8.277557089086791,4
5.999999999999995,10.974213151941502,-2.1222084926012204,-0.02088140139092723,8.273552158246664,4
6.099999999999994,10.751018089529438,-2.2319506241206355,-0.021299255346069933,8.270021292325708,4
6.199999999999994,10.517072009027846,-2.33946080501593,-0.02165933594594771,8.266978611256741,4
